algorithm,dataset,n,k,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
kmeans,seeds,210,3,7,1,0.7048605249026285,0.6742948207512335,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512335,22.024363075666034,6.6208e-5
kmeans,seeds,210,3,7,2,0.7048605249026285,0.6742948207512335,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512335,22.024363075666034,9.475e-5
kmeans,seeds,210,3,7,3,0.7048605249026285,0.6742948207512335,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512335,22.024363075666034,6.1542e-5
kmeans,seeds,210,3,7,4,0.7048605249026285,0.6742948207512345,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512345,22.024363075666034,6.675e-5
kmeans,seeds,210,3,7,5,0.7048605249026285,0.674294820751234,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.674294820751234,22.024363075666034,8.2583e-5
kmeans,seeds,210,3,7,6,0.6934031600149404,0.66544170802155,0,2,2,0,0,0.13583959899749373,0.7283208020050125,0.7339826412481971,0.6654417080215501,22.026451226606657,2.6167e-5
kmeans,seeds,210,3,7,7,0.7048605249026285,0.6742948207512335,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512335,22.024363075666034,7.4667e-5
kmeans,seeds,210,3,7,8,0.6934031600149404,0.6654417080215496,0,2,2,0,0,0.13583959899749373,0.7283208020050125,0.733982641248197,0.6654417080215498,22.026451226606657,4.8166e-5
kmeans,seeds,210,3,7,9,0.6934031600149404,0.66544170802155,0,2,2,0,0,0.13583959899749373,0.7283208020050125,0.7339826412481971,0.6654417080215501,22.026451226606657,5.6334e-5
kmeans,seeds,210,3,7,10,0.7048605249026285,0.6742948207512345,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512345,22.024363075666034,6.1792e-5
kmeans_hg,seeds,210,3,7,1,0.7048605249026285,0.6742948207512345,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512345,22.024363075666034,0.013543916
kmeans_hg,seeds,210,3,7,2,0.7048605249026285,0.6742948207512335,0,2,2,0,0,0.13073593073593073,0.7385281385281385,0.714699959604556,0.6742948207512335,22.024363075666034,0.013066375
